"Employee_ID","Employee_Name","Manager","Department","Base_Salary","Bonus","Penalty","Month"
"E024","Employee_24","Manager_C","HR","2.2265296E7","962813.0","1142030.0","2026-03"
"E025","Employee_25","Manager_B","HR","1.6913146E7","1193164.0","149757.0","2026-03"
"E026","Employee_26","Manager_A","HR","1.8321739E7","4991591.0","1570678.0","2026-03"
"E027","Employee_27","Manager_C","Operations","1.2172616E7","3931723.0","1444262.0","2026-03"
"E028","Employee_28","Manager_C","Operations","1.7135066E7","4198264.0","1132423.0","2026-03"
"E029","Employee_29","Manager_D","Operations","1.069918E7","334376.0","1865254.0","2026-03"
"E030","Employee_30","Manager_D","Finance","2.8257268E7","2100238.0","54242.0","2026-03"
"E031","Employee_31","Manager_A","HR","2.7300479E7","4925144.0","1993943.0","2026-03"
"E032","Employee_32","Manager_A","Finance","2.733564E7","337487.0","1600355.0","2026-03"
"E033","Employee_33","Manager_B","Operations","2.5413536E7","3709689.0","1921143.0","2026-03"
"E034","Employee_34","Manager_C","HR","2.7640403E7","3656468.0","1331240.0","2026-03"
"E035","Employee_35","Manager_D","Sales","2.3770931E7","2918908.0","856368.0","2026-03"
"E036","Employee_36","Manager_C","Finance","1.1509789E7","1349096.0","691648.0","2026-03"
"E037","Employee_37","Manager_D","Operations","1.7670984E7","3359236.0","1706171.0","2026-03"
"E038","Employee_38","Manager_A","Operations","1.0954796E7","2638361.0","529318.0","2026-03"
"E039","Employee_39","Manager_C","Sales","2.1561864E7","4316746.0","1729997.0","2026-03"
"E040","Employee_40","Manager_A","Operations","2.1866287E7","454696.0","393389.0","2026-03"
"E041","Employee_41","Manager_C","Operations","2.8985235E7","3708108.0","1593815.0","2026-03"
"E042","Employee_42","Manager_A","HR","1.696092E7","4607188.0","274754.0","2026-03"
"E043","Employee_43","Manager_C","Operations","2.4264229E7","1018595.0","60543.0","2026-03"
"E044","Employee_44","Manager_B","HR","1.8427044E7","4620772.0","28677.0","2026-03"
"E045","Employee_45","Manager_D","Sales","1.5539702E7","951780.0","967726.0","2026-03"
"E046","Employee_46","Manager_A","HR","2.4722706E7","2448312.0","1067181.0","2026-03"
"E047","Employee_47","Manager_C","Operations","2.4189999E7","3961266.0","511140.0","2026-03"
"E048","Employee_48","Manager_D","HR","2.087101E7","1598955.0","1933297.0","2026-03"
"E049","Employee_49","Manager_B","Sales","1.7269324E7","3480789.0","712770.0","2026-03"
"E050","Employee_50","Manager_C","Sales","1.7490501E7","2504467.0","1756314.0","2026-03"
"E051","Employee_51","Manager_D","HR","2.2983644E7","4517941.0","1015737.0","2026-03"
"E052","Employee_52","Manager_C","Finance","2.6519275E7","4558621.0","791066.0","2026-03"
"E053","Employee_53","Manager_D","Finance","1.4330123E7","2003246.0","1199146.0","2026-03"
"E054","Employee_54","Manager_D","HR","2.1783325E7","366140.0","667264.0","2026-03"
"E055","Employee_55","Manager_D","Operations","2.0954653E7","1275951.0","1038779.0","2026-03"
"E056","Employee_56","Manager_A","HR","2.4854094E7","4950792.0","696243.0","2026-03"
"E057","Employee_57","Manager_A","Operations","1.1345769E7","4411997.0","1909334.0","2026-03"
"E058","Employee_58","Manager_D","Sales","1.2837053E7","3439149.0","1826478.0","2026-03"
"E059","Employee_59","Manager_B","Sales","2.375349E7","2223172.0","710014.0","2026-03"
"E060","Employee_60","Manager_D","Sales","1.9024831E7","4476348.0","796937.0","2026-03"
"E061","Employee_61","Manager_C","Operations","2.6153485E7","301143.0","1294906.0","2026-03"
"E062","Employee_62","Manager_A","HR","2.9178249E7","2410709.0","477073.0","2026-03"
"E063","Employee_63","Manager_A","Operations","1.1303203E7","843115.0","930461.0","2026-03"
"E064","Employee_64","Manager_B","Finance","8971308.0","385800.0","680262.0","2026-03"
"E065","Employee_65","Manager_A","Finance","2.0028033E7","3144394.0","903215.0","2026-03"
"E066","Employee_66","Manager_B","HR","2.5822984E7","3456540.0","1186837.0","2026-03"
"E067","Employee_67","Manager_B","HR","1.3874352E7","662434.0","1278196.0","2026-03"
"E068","Employee_68","Manager_D","HR","2.4698941E7","4891876.0","300139.0","2026-03"
"E069","Employee_69","Manager_B","Operations","2.9404527E7","2130516.0","963789.0","2026-03"
"E070","Employee_70","Manager_C","Sales","2.3611308E7","2412829.0","1421053.0","2026-03"
"E071","Employee_71","Manager_B","Sales","2.2821991E7","2898814.0","1232227.0","2026-03"
"E072","Employee_72","Manager_C","Operations","1.6391903E7","3832216.0","1772730.0","2026-03"
"E073","Employee_73","Manager_C","HR","2.0908163E7","4053443.0","223668.0","2026-03"
"E074","Employee_74","Manager_B","Operations","2.7190541E7","3011167.0","1205467.0","2026-03"
"E075","Employee_75","Manager_C","Finance","8736170.0","3320259.0","575627.0","2026-03"
"E076","Employee_76","Manager_A","Sales","2.8347625E7","4166850.0","1746589.0","2026-03"
"E077","Employee_77","Manager_C","HR","2.8369721E7","2955482.0","459285.0","2026-03"
"E078","Employee_78","Manager_B","Finance","1.2589549E7","815070.0","1894574.0","2026-03"
"E079","Employee_79","Manager_A","Finance","2.2791571E7","279881.0","1215454.0","2026-03"
"E080","Employee_80","Manager_C","HR","1.1024374E7","2475565.0","685179.0","2026-03"
"E081","Employee_81","Manager_D","HR","1.4737555E7","1108636.0","1649436.0","2026-03"
"E082","Employee_82","Manager_C","Finance","1.3521194E7","2155621.0","1916899.0","2026-03"
"E083","Employee_83","Manager_D","Finance","1.9365397E7","966113.0","982162.0","2026-03"
"E084","Employee_84","Manager_A","HR","1.5570372E7","3333729.0","1773654.0","2026-03"
"E085","Employee_85","Manager_C","Sales","2.1239725E7","116758.0","554609.0","2026-03"
"E086","Employee_86","Manager_A","Operations","2.0367682E7","2199169.0","1225911.0","2026-03"
"E087","Employee_87","Manager_D","Finance","1.1635491E7","1961440.0","988758.0","2026-03"
"E088","Employee_88","Manager_A","Finance","2.8470961E7","1856962.0","1358225.0","2026-03"
"E089","Employee_89","Manager_A","Operations","1.8139819E7","3425033.0","244687.0","2026-03"
"E090","Employee_90","Manager_B","Sales","9248631.0","2553195.0","1033108.0","2026-03"
"E091","Employee_91","Manager_A","Sales","1.5878581E7","4509267.0","284508.0","2026-03"
"E092","Employee_92","Manager_D","Operations","2.044908E7","4531463.0","878972.0","2026-03"
"E093","Employee_93","Manager_B","Operations","2.9975532E7","830653.0","1748381.0","2026-03"
"E094","Employee_94","Manager_D","Operations","1.7386521E7","274444.0","1447623.0","2026-03"
"E095","Employee_95","Manager_C","HR","2.2877467E7","3730379.0","1993458.0","2026-03"
"E096","Employee_96","Manager_B","Finance","1.1333787E7","3081428.0","1141827.0","2026-03"
"E097","Employee_97","Manager_C","Sales","2.1359349E7","2314261.0","398057.0","2026-03"
"E098","Employee_98","Manager_A","Operations","1.1076049E7","1779272.0","1345751.0","2026-03"
"E099","Employee_99","Manager_A","Sales","1.919071E7","2043203.0","264081.0","2026-03"
"E100","Employee_100","Manager_B","Sales","2.6596127E7","1737761.0","1229734.0","2026-03"
"E101","Employee_101","Manager_B","HR","1.9024629E7","1237774.0","1653905.0","2026-03"
"E102","Employee_102","Manager_A","Finance","1.2854922E7","1090453.0","1132913.0","2026-03"
"E103","Employee_103","Manager_C","HR","1.1688516E7","216259.0","276411.0","2026-03"
"E104","Employee_104","Manager_A","Finance","1.5983659E7","4939656.0","678997.0","2026-03"
"E105","Employee_105","Manager_A","HR","1.6904256E7","439554.0","265831.0","2026-03"
"E106","Employee_106","Manager_D","Sales","1.0132653E7","3995040.0","940101.0","2026-03"
"E107","Employee_107","Manager_C","Sales","2.3166785E7","4226505.0","464623.0","2026-03"
"E108","Employee_108","Manager_A","Finance","2.3369356E7","261310.0","127560.0","2026-03"
"E109","Employee_109","Manager_D","Operations","2.2303369E7","905649.0","1028168.0","2026-03"
"E110","Employee_110","Manager_D","Sales","1.0710878E7","2702069.0","1275692.0","2026-03"
"E111","Employee_111","Manager_B","Sales","1.2234287E7","2307001.0","1309288.0","2026-03"
"E112","Employee_112","Manager_C","Operations","2.8045144E7","4450633.0","618445.0","2026-03"
"E113","Employee_113","Manager_D","Operations","1.1327876E7","959774.0","1788435.0","2026-03"
"E114","Employee_114","Manager_B","Operations","2.3151668E7","1916743.0","867829.0","2026-03"
"E115","Employee_115","Manager_C","Operations","2.1379164E7","3489574.0","1530108.0","2026-03"
"E116","Employee_116","Manager_A","Finance","2.2319823E7","2621637.0","1394832.0","2026-03"
"E117","Employee_117","Manager_C","Finance","1.3121712E7","3978447.0","140788.0","2026-03"
"E118","Employee_118","Manager_A","Sales","1.1128283E7","3622842.0","202510.0","2026-03"
"E119","Employee_119","Manager_C","HR","2.6668704E7","503156.0","1229906.0","2026-03"
"E120","Employee_120","Manager_C","Sales","2.178445E7","2966195.0","1832087.0","2026-03"
"E121","Employee_121","Manager_D","Sales","1.7651241E7","2621011.0","737455.0","2026-03"
"E122","Employee_122","Manager_A","HR","1.3191883E7","4044897.0","470275.0","2026-03"
"E123","Employee_123","Manager_A","Finance","2.6665172E7","3083325.0","240931.0","2026-03"
"E124","Employee_124","Manager_C","HR","2.2398623E7","4705721.0","1609422.0","2026-03"
"E125","Employee_125","Manager_A","Finance","8971507.0","1513439.0","573089.0","2026-03"
"E126","Employee_126","Manager_C","Finance","1.9778391E7","51219.0","380435.0","2026-03"
"E127","Employee_127","Manager_B","Operations","1.0334899E7","1190130.0","1553924.0","2026-03"
"E128","Employee_128","Manager_A","Sales","2.5800045E7","1804665.0","788936.0","2026-03"
"E129","Employee_129","Manager_D","Operations","1.9438571E7","1320444.0","776057.0","2026-03"
"E130","Employee_130","Manager_C","Finance","2.7045279E7","712671.0","1852502.0","2026-03"
"E131","Employee_131","Manager_A","HR","1.3281799E7","417438.0","1413414.0","2026-03"
"E132","Employee_132","Manager_A","Finance","2.2868404E7","3556893.0","1018506.0","2026-03"
"E133","Employee_133","Manager_D","Operations","1.7165958E7","1808323.0","1583230.0","2026-03"
"E134","Employee_134","Manager_A","Finance","2.2425507E7","930210.0","594010.0","2026-03"
"E135","Employee_135","Manager_D","Finance","9523953.0","1849842.0","828927.0","2026-03"
"E136","Employee_136","Manager_A","Sales","1.4859301E7","2528488.0","1982488.0","2026-03"
"E137","Employee_137","Manager_B","HR","1.6573811E7","2428058.0","688122.0","2026-03"
"E138","Employee_138","Manager_A","Sales","2.4689482E7","3612596.0","368458.0","2026-03"
"E139","Employee_139","Manager_B","Operations","2.5870498E7","1930308.0","1049126.0","2026-03"
"E140","Employee_140","Manager_C","Sales","2.1323497E7","354857.0","914818.0","2026-03"
"E141","Employee_141","Manager_A","Operations","1.0612635E7","2626142.0","1207454.0","2026-03"
"E142","Employee_142","Manager_D","Operations","2.947959E7","3503870.0","607157.0","2026-03"
"E143","Employee_143","Manager_A","Operations","8699829.0","2724352.0","360444.0","2026-03"
"E144","Employee_144","Manager_D","Finance","1.0957148E7","3663403.0","1771012.0","2026-03"
"E145","Employee_145","Manager_A","HR","2.2618878E7","4939810.0","839804.0","2026-03"
"E146","Employee_146","Manager_A","Operations","1.8411086E7","2848043.0","464670.0","2026-03"
"E147","Employee_147","Manager_C","HR","1.0562866E7","4282244.0","1327968.0","2026-03"
"E148","Employee_148","Manager_A","HR","1.9723088E7","2945238.0","1525424.0","2026-03"
"E149","Employee_149","Manager_B","HR","1.1449547E7","1228463.0","536804.0","2026-03"
"E150","Employee_150","Manager_B","HR","2.8213155E7","1282364.0","1594287.0","2026-03"
"E151","Employee_151","Manager_A","HR","2.9070464E7","4144954.0","972980.0","2026-03"
"E152","Employee_152","Manager_D","Finance","2.9045923E7","2651965.0","316580.0","2026-03"
"E153","Employee_153","Manager_D","Sales","2.373438E7","3709510.0","1324110.0","2026-03"
"E154","Employee_154","Manager_C","Finance","2.7844754E7","471205.0","738076.0","2026-03"
"E155","Employee_155","Manager_A","Finance","2.3493506E7","3790928.0","78868.0","2026-03"
"E156","Employee_156","Manager_A","Finance","1.7632706E7","643666.0","1351963.0","2026-03"
"E157","Employee_157","Manager_A","Operations","2.3526026E7","4868155.0","1162485.0","2026-03"
"E158","Employee_158","Manager_A","Operations","2.7181615E7","1579067.0","674290.0","2026-03"
"E159","Employee_159","Manager_D","HR","1.0076136E7","3779261.0","217059.0","2026-03"
"E160","Employee_160","Manager_C","Sales","2.4929855E7","1447529.0","82086.0","2026-03"
"E161","Employee_161","Manager_B","Operations","2.2744548E7","4396205.0","1096282.0","2026-03"
"E162","Employee_162","Manager_B","Finance","2.0510836E7","2373083.0","812471.0","2026-03"
"E163","Employee_163","Manager_D","Finance","2.806172E7","439273.0","1655128.0","2026-03"
"E164","Employee_164","Manager_C","Sales","1.9062586E7","792773.0","1170133.0","2026-03"
"E165","Employee_165","Manager_D","Finance","1.6455575E7","1261422.0","699110.0","2026-03"
"E166","Employee_166","Manager_A","HR","1.9738037E7","2602412.0","1375846.0","2026-03"
"E167","Employee_167","Manager_D","HR","2.796627E7","710674.0","649240.0","2026-03"
"E168","Employee_168","Manager_D","Finance","1.2288047E7","4415707.0","195985.0","2026-03"
"E169","Employee_169","Manager_D","Finance","8611715.0","3041689.0","647739.0","2026-03"
"E170","Employee_170","Manager_B","HR","1.9466634E7","4079136.0","402664.0","2026-03"
"E171","Employee_171","Manager_B","HR","1.3199097E7","647307.0","620320.0","2026-03"
"E172","Employee_172","Manager_A","Sales","1.9299937E7","1099319.0","1252516.0","2026-03"
"E173","Employee_173","Manager_D","HR","1.3444113E7","1517045.0","1743456.0","2026-03"
"E174","Employee_174","Manager_B","Operations","9466074.0","3446531.0","763991.0","2026-03"
"E175","Employee_175","Manager_B","Operations","2.8488182E7","2390148.0","1577878.0","2026-03"
"E176","Employee_176","Manager_D","HR","2.591844E7","2006290.0","649001.0","2026-03"
"E177","Employee_177","Manager_D","HR","2.0342694E7","4785024.0","923999.0","2026-03"
"E178","Employee_178","Manager_D","Finance","2.0813512E7","4218687.0","1106163.0","2026-03"
"E179","Employee_179","Manager_D","HR","1.4700743E7","1160971.0","1830817.0","2026-03"
"E180","Employee_180","Manager_C","Sales","2.9514398E7","4031486.0","1833156.0","2026-03"
"E181","Employee_181","Manager_C","Sales","2.5311046E7","1045872.0","597820.0","2026-03"
"E182","Employee_182","Manager_A","HR","1.7153357E7","3769162.0","1898564.0","2026-03"
"E183","Employee_183","Manager_B","Operations","1.1077396E7","1862589.0","1712750.0","2026-03"
"E184","Employee_184","Manager_D","Finance","8894903.0","3480407.0","111687.0","2026-03"
"E185","Employee_185","Manager_D","Finance","1.5911399E7","3239396.0","171139.0","2026-03"
"E186","Employee_186","Manager_C","HR","8945817.0","2673322.0","1952083.0","2026-03"
"E187","Employee_187","Manager_A","Finance","1.2900601E7","1154269.0","80327.0","2026-03"
"E188","Employee_188","Manager_C","Operations","1.2657109E7","3935180.0","940785.0","2026-03"
"E189","Employee_189","Manager_A","Sales","8637664.0","2146845.0","452260.0","2026-03"
"E190","Employee_190","Manager_B","Operations","1.1730811E7","2416771.0","498367.0","2026-03"
"E191","Employee_191","Manager_C","Sales","9602205.0","2000175.0","880437.0","2026-03"
"E192","Employee_192","Manager_D","Sales","1.1719773E7","4192871.0","1251452.0","2026-03"
"E193","Employee_193","Manager_A","HR","1.2817639E7","2443366.0","900179.0","2026-03"
"E194","Employee_194","Manager_A","Finance","1.6071996E7","4787074.0","873605.0","2026-03"
"E195","Employee_195","Manager_B","Sales","2.5565226E7","3024963.0","141933.0","2026-03"
"E196","Employee_196","Manager_A","Operations","2.3775115E7","365193.0","1333098.0","2026-03"
"E197","Employee_197","Manager_D","Finance","1.651109E7","136249.0","748880.0","2026-03"
"E198","Employee_198","Manager_A","Finance","1.6090843E7","869595.0","1617955.0","2026-03"
"E199","Employee_199","Manager_C","HR","9487658.0","2955298.0","1145073.0","2026-03"
"E200","Employee_200","Manager_C","HR","2.3590157E7","4014210.0","1324846.0","2026-03"































































































































































































































































































































































































































































































































































































































































































































































































































